order_id,customer_id,order_date,shipped_at,delivered_at,updated_at,city,courier,payment_status,order_status,promised_days,order_value,is_test_order
O1001,C01,29-04-26,05-01-2026,05-03-2026,05-03-2026,Bengaluru,ShipQuick,Paid,Delivered,2,1200,No
O1002,C02,05-02-2026,05-03-2026,05-07-2026,05-07-2026,Mumbai,shipquick,pending,delivered,3,900,No
O1002,C02,05-02-2026,05-03-2026,05-07-2026,05-08-2026,Mumbai,ShipQuick,Paid,Delivered,3,900,No
O1003,C03,05-04-2026,05-05-2026,05-06-2026,05-06-2026,Delhi,FastBee,Pending,Delivered,2,650,No
O1004,C04,05-05-2026,05-06-2026,06-01-2026,06-01-2026,Pune,Blue Dart,Paid,Delivered,4,2000,No
O1005,C05,05-08-2026,05-09-2026,,05-10-2026,Chennai,Fastbee,Paid,Cancelled,3,700,No
O1006,C06,05-10-2026,05-11-2026,14-05-26,14-05-26,Mumbai,Bluedart,Paid,Delivered,3,1500,No
O1006,C06,05-10-2026,05-11-2026,14-05-26,14-05-26,Mumbai,Bluedart,Paid,Delivered,3,1500,No
O1007,C07,05-12-2026,13-05-26,15-05-26,15-05-26,Bangalore,ShipQuick,Paid,Delivered,2,1,Yes
O1008,C08,15-05-26,16-05-26,18-05-26,18-05-26,Pune,FastBee,Paid,Delivered,-2,500,No
